"Time (s)","Pressure (hPa)"
9.413887880E1,9.976988525E2
9.417891817E1,9.977102661E2
9.421891901E1,9.977074585E2
9.425889630E1,9.976957397E2
9.429890208E1,9.977069702E2
9.433892046E1,9.976966553E2
9.437891265E1,9.977125854E2
9.441889713E1,9.977110596E2
9.445890255E1,9.976937256E2
9.449889901E1,9.977174683E2
9.453889682E1,9.976929321E2
9.457890505E1,9.976918335E2
9.461890838E1,9.977208862E2
9.465890588E1,9.977099609E2
9.469896984E1,9.977130737E2
9.473890088E1,9.977107544E2
9.477890046E1,9.977235107E2
9.481889328E1,9.977236938E2
9.485895838E1,9.977110596E2
9.489890213E1,9.977074585E2
9.493888422E1,9.977178955E2
9.497887422E1,9.977177734E2
9.501888286E1,9.977085571E2
9.505887599E1,9.976930542E2
9.509887401E1,9.977041626E2
9.513888161E1,9.977113647E2
9.517888317E1,9.977057495E2
9.521887317E1,9.977200928E2
9.525888338E1,9.977080688E2
9.529888296E1,9.977387085E2
9.533888578E1,9.977169800E2
9.537888151E1,9.977210693E2
9.541888583E1,9.977239990E2
9.545888005E1,9.977029419E2
9.549887442E1,9.977083740E2
9.553887708E1,9.977160645E2
9.557887640E1,9.977135620E2
9.561888328E1,9.977255859E2
9.565887505E1,9.977180786E2
9.569888515E1,9.977211914E2
9.573887922E1,9.977293091E2
9.577888125E1,9.977398071E2
9.581888515E1,9.977229004E2
9.585888088E1,9.977150879E2
9.589888286E1,9.977304077E2
9.593888041E1,9.977103882E2
9.597888088E1,9.977069702E2
9.601887557E1,9.977094727E2
9.605887734E1,9.977268066E2
9.609888380E1,9.977066650E2
9.613887651E1,9.977351074E2
9.617888140E1,9.977344971E2
9.621888599E1,9.977285156E2
9.625888286E1,9.977216797E2
9.629887734E1,9.977258911E2
9.633888208E1,9.977238770E2
9.637887505E1,9.977202759E2
9.641887640E1,9.977261963E2
9.645888140E1,9.977125854E2
9.649887317E1,9.977102661E2
9.653887953E1,9.977055664E2
9.657887984E1,9.977210693E2
9.661888005E1,9.977088623E2
9.665887380E1,9.977271118E2
9.669888541E1,9.977351074E2
9.673888359E1,9.977286987E2
9.677889244E1,9.977445068E2
9.681886401E1,9.977239990E2
9.685887734E1,9.977465210E2
9.689888099E1,9.977238770E2
9.693888130E1,9.977049561E2
9.697888724E1,9.977322998E2
9.701887666E1,9.977313232E2
9.705888172E1,9.977227783E2
9.709887755E1,9.977293091E2
9.713887875E1,9.977421265E2
9.717888349E1,9.977167969E2
9.721888359E1,9.977487183E2
9.725887817E1,9.977580566E2
9.729887744E1,9.977415161E2
9.733887463E1,9.977435303E2
9.737887484E1,9.977427368E2
9.741887901E1,9.977272949E2
9.745887369E1,9.977210693E2
9.749888307E1,9.977082520E2
9.753889041E1,9.977107544E2
9.757887859E1,9.977167969E2
9.761888255E1,9.977194824E2
9.765887869E1,9.977421265E2
9.769888416E1,9.977390137E2
9.773887849E1,9.977562256E2
9.777887724E1,9.977368164E2
9.781888140E1,9.977307129E2
9.785888119E1,9.977402344E2
9.789888317E1,9.977191772E2
9.793887755E1,9.977177734E2
